Suite,Benchmark,Language,cpu-cycles,instructions,cache-references,cache-misses,cache-misses %,branch-instructions,branch-misses,branch-misses %,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
SPECrate®2017 Floating Point,521.wrf_r,"Fortran, C",6612234849848,8535199356612,56983133999,7720413859,13.55%,1841664192623,20621282709,1.12%,12983679,1838895778769,20750552014,2361490612848,126746885129,1376279615227,19211553416,41045349443,22709877295,51866878751,7183923905,3367459447,1077882415,5351217722,2349337259996,10273885095,1374215954428,444951981,1018271865,397036213
SPECrate®2017 Floating Point,526.blender_r,"C++, C",2143178607532,2583638367235,16087741420,1102970296,6.86%,521045150838,17406036992,3.34%,9821484,521337771118,17301188174,726704567340,24781527020,300391805874,6535569972,6155162013,23885892230,8484451168,451878017,1727557845,498642824,231726189,704627819087,2702938047,298689336801,237157607,1155370067,561952045
SPECrate®2017 Floating Point,527.cam4_r,"Fortran, C",1117339707480,1571959672394,8322457380,523175517,6.29%,328650530522,6383380577,1.94%,4500020,329006509674,6400425969,426697044401,19560214609,221913157950,4619237465,5964284165,8887196853,5782176060,231965102,968688404,269927935,197874829,417458711534,1410091719,223273504334,111646303,346454121,254441344
SPECrate®2017 Floating Point,538.imagick_r,C,459915253255,674472138764,3510548196,308739726,8.79%,112752810990,2154859343,1.91%,1693269,113570577358,2143095430,155028809572,8398607059,52911865396,1451136856,3961685729,3565958292,2490747311,224657172,427824357,131242877,144143252,149800946037,543121473,53693465163,58171678,162537818,73137950
SPECrate®2017 Floating Point,544.nab_r,C,395394802210,489173167922,514059478,24664759,4.80%,64074527346,1604885161,2.50%,438847,63746817196,1608928029,158581932606,3835807619,40336449647,964250905,2698861710,732161291,330329439,13455713,50719735,12564062,6107448,158588679992,77853419,39846255850,8058781,26605066,11381766
SPECrate®2017 Floating Point,549.fotonik3d_r,Fortran,235707727662,292830844772,3527577584,1219603724,34.57%,35512303797,448558086,1.26%,664005,35470881378,454361694,109763950288,6600479439,35663484975,2227373261,4638103051,857258724,5386545730,2669731277,106402550,42047772,1245766536,100934549643,326620137,34731108524,20263938,30986025,25987836
SPECrate®2017 Floating Point,554.roms_r,Fortran,893569421098,1213764730512,9773413314,1656789970,16.95%,132555475231,1874091457,1.41%,1708261,132326864329,1877862059,472236035990,36505301279,124254398943,9392629406,20607918735,3413392159,10621599397,1954879151,2318740573,577378627,2951333142,454448503982,894423455,123868902106,151308876,105795775,43010017
SPECspeed®2017 Floating Point,603.bwaves_s,Fortran,255548399872,258811430644,2087066126,265451826,12.72%,17312550830,191226483,1.10%,1158688,17443491058,207805695,121819625149,7879623657,22635664647,2412844906,4053010167,523460899,3328778696,1644721551,384562855,220641153,1850184760,122609121177,158309177,23218134953,21273350,13321778,6874452
SPECspeed®2017 Floating Point,607.cactuBSSN_s,"C++, C, Fortran",757111156492,933101912778,7501316649,619207085,8.25%,175317834115,3563880621,2.03%,3656531,175992736512,3541548892,278553997979,23226483439,123938783723,4357226067,4110278565,7694192316,5325168305,360937728,930148272,340676586,272252950,275660719865,856875187,122813381074,86678357,360696390,137972323
SPECspeed®2017 Floating Point,619.lbm_s,C,1716533160768,690626177307,13251189524,4843203076,36.55%,17873253052,483928935,2.71%,1126865,17684747494,486140686,210757645735,53109134770,124527692236,44194554603,7596913149,437142837,5011900945,2799094542,15090788426,6480460209,22297173299,212362889526,257724402,124741679729,406225466,9036645,7250548
SPECspeed®2017 Floating Point,621.wrf_s,"Fortran, C",6665184468594,8538548354701,60621038032,7601896374,12.54%,1841647493902,20570689742,1.12%,12886002,1838760794241,20551693636,2365397543530,129201661650,1378777585943,18186351261,45913436149,22692002115,56205084471,7046801388,3232786601,1099700775,5099771347,2367894942477,10300023325,1381913093182,431238949,1037610766,393771282
SPECspeed®2017 Floating Point,627.cam4_s,"Fortran, C",1065222568169,1500610038744,8350481874,587182253,7.03%,325501401258,6181913942,1.90%,4493491,325758605080,6215285990,408380287061,18551453634,224288174985,3947738051,5642710635,9078622586,5806316344,259905377,761491110,266342213,191846518,394170122738,1452772121,223728533743,112770170,368182841,160817642
SPECspeed®2017 Floating Point,628.pop2_s,"Fortran, C",1237072594188,1798404913872,8601277980,796399609,9.26%,352983229201,6794833223,1.92%,3437596,353984516680,6768693404,498808842536,31917081742,232854861631,8738579357,12609615246,7456200298,6064433743,587451643,1935191741,653642565,987686738,487102814139,1193322397,231613585507,108032442,302225160,138274277
SPECspeed®2017 Floating Point,638.imagick_s,C,460011331820,683660444112,3557218349,279526062,7.86%,110420862330,2209205366,2.00%,1683758,109281725335,2220516146,152480607025,8169697910,55351319520,1456049920,3756149489,3935648613,2342872470,179345339,412549646,90824730,144045123,154820554143,541803468,53546326624,49365236,163939897,74800641
SPECspeed®2017 Floating Point,644.nab_s,C,705034908272,705848057294,1001170724,295940807,29.56%,98961932399,1726702959,1.74%,443750,99166648632,1729433736,241503527341,4812344944,46218818685,286922084,2920974023,688317872,559867318,152498912,259890634,152631207,282021444,239254968438,95425906,47150684817,9125792,30453453,13655555
SPECspeed®2017 Floating Point,649.fotonik3d_s,Fortran,297341004213,306149550776,3812588029,1314790902,34.49%,35736248746,459627065,1.29%,650793,36160815963,460594512,139187670768,7158183401,33806492981,2131750984,4487592950,969861666,5503254974,2797141746,114935005,61164910,1544228942,136731653378,327879259,33884818598,21768067,31489204,25946963
SPECspeed®2017 Floating Point,654.roms_s,Fortran,896437091391,1239666174565,9416712960,1670459942,17.74%,131214199264,1875704453,1.43%,1713408,131558706555,1890019170,470225796501,34742676804,128179516110,9344766545,20613592519,3417830395,9611039032,1915365331,2015722126,546114482,2961781195,463789666116,799093063,125575005105,128552770,108381830,44934946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
