Suite,Program,cpu-cycles,instructions,cache-references,cache-misses,cache-misses %,branch-instructions,branch-misses,branch-misses %,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
Misc,mandel-2,2612638477,3890799951,4023529,269778,6.71%,572260577,5546639,0.97%,11830,567510986,5962287,106727738,14011262,84172189,5747189,3614084,6571046,5412625,194918,614055,81493,11916,98958494,513838,51878176,108549,163985,173044
Misc,matmul_f64_4x4,2557331153,8010819142,5635258,355153,6.30%,233145091,4493953,1.93%,11818,236132606,5110483,1971550043,10785508,847861761,4380526,2783185,9335127,8074738,907444,747821,116228,24836,1948715037,434261,912217081,60743,203243,174011
Misc,flops-4,2595491530,4010131178,6637788,565029,8.51%,245030231,4732803,1.93%,11781,241022329,4845316,102603728,11159209,78404906,3712721,1489304,8983966,4385599,687216,1038638,439401,209160,138134639,534522,43849380,71170,239001,177668
Misc,dt,2585605935,1071220366,5657760,302054,5.34%,114761008,4513396,3.93%,11832,111612299,4420833,396278225,8285845,223924423,4401037,3043106,11245463,4992519,687724,1003854,278009,159884,421303684,1307025,206474325,70418,196466,163943
Misc,mandel,2497649988,3934809969,5641754,424803,7.53%,494108011,4437857,0.90%,11796,484454034,4619219,729414759,13972792,415718898,4107932,1768399,10351270,6161624,836271,959469,187191,107189,748322956,411367,426282246,57142,211628,180815
Misc,richards_benchmark,2477081345,4866619659,5393747,301583,5.59%,1045819413,15517082,1.48%,11810,1026932262,15557816,1634581383,11606306,987676293,3941127,1830337,10658872,5037260,712096,955144,483039,172900,1289567821,1560516,949803081,88496,190759,254110
Misc,pi,2433349928,1885676590,8767916,348854,3.98%,171681223,5667970,3.30%,11775,164162667,5619868,100498560,13249050,95189236,4407431,2115432,11558984,5135754,405853,1152216,426406,272733,230930933,1419006,95261608,107081,469930,367588
Misc,revertBits,1112336765,2433654642,5820380,281051,4.83%,173902459,4307406,2.48%,11812,172442910,4498248,163680830,11286586,137880739,4788555,2229059,10932162,4438223,522861,736626,413150,173091,156156143,916624,77183301,75462,216750,193942
Misc,lowercase,616701273,518963525,8083410,475373,5.88%,91481181,4891261,5.35%,11805,83280993,4603337,133644697,11925642,87488118,4064774,1881463,9931212,4136578,427049,650199,231969,173091,140831748,1205217,82628829,122948,366932,335342
Misc-C++,stepanov_v1p2,20093348731,25316734389,5072507,285906,5.64%,6197991534,7509025,0.12%,11888,6221224242,7459408,6715353026,6019023,78443876,3640736,1918675,11812554,4885468,393132,1066845,627521,387149,6546932807,1227615,49704005,58160,169587,142968
Misc-C++,sphereflake,13555168632,16752257990,7065666,445011,6.30%,1585796167,24813335,1.56%,13579,1580868713,24747379,1829203055,20004645,198846822,3938312,3686228,11828970,5870434,579818,947513,829435,361787,1842435649,1339602,185367935,119533,180589,151405
Misc-C++,stepanov_container,10358472702,5810370247,127278037,832002,0.65%,1359490456,117303763,8.63%,14984,1351783126,118787874,1475711339,213014533,733840164,71796944,32864784,10991495,117234951,736829,5885443,753154,1137648,1401750870,80601702,694285590,6107660,374290,231043
Misc-C++,ray,8859459306,14067634672,8524899,428978,5.03%,1140409948,13066137,1.15%,12450,1123469209,12474826,4619240971,17428588,2256101340,3746214,3090459,10972922,4917829,423688,1638753,880007,438753,4175097166,1445327,2223047976,143182,467257,365836
Misc-C++,mandel-text,5270404745,6298021435,7348272,568980,7.74%,797435996,6052148,0.76%,11877,795245139,6105483,100732853,13823037,79264747,3774824,2064820,14124583,8180245,979286,1319210,265593,55125,184169622,625960,90752528,99798,548259,383715
Misc-C++,bigfib,1595224992,1219951985,15652841,4574573,29.23%,196307578,4782038,2.44%,71574,200084695,5783477,370774585,37818112,273153545,17626204,6058016,10316136,7911423,884726,5677071,2203625,355726,360160650,1612399,295377963,584315,317102,281673
Misc-C++,oopack_v1p8,945123664,972925724,7758568,403241,5.20%,159169808,5061534,3.18%,11887,165328495,5387881,478257664,12696839,96078323,5026267,2501747,9376527,4525107,662049,889071,255016,165002,345748116,416080,43492442,56257,257840,246814
Misc-C++-EH,spirit,22862343874,28021480182,4960554,365773,7.37%,6212211383,156567121,2.52%,12031,6206295499,156164743,9050253968,6196189,5054066299,3765696,1838732,11783587,4446384,721466,1070286,774601,391254,8808873902,5416817,5029808936,58207,60875141,179669
nbench,nbench,4597030765,7786534279,6156543,384313,6.24%,1109538121,43971064,3.96%,11953,1109565857,43922310,1785081075,57100606,621277779,14270480,33020292,9748052,5120103,696786,1521148,436134,238210,1803898645,1604749,724246865,65594,236643,169187
NPB-serial,is,27991867767,12076611392,75832409,45869071,60.49%,920441703,4682021,0.51%,79366,935069024,4785366,3210780906,424768431,1808251423,254447455,64394508,11629403,38268531,22054718,36820822,29541517,30713881,1933632630,3771742,1639157367,108113557,141540,220367
Olden,em3d,8645314972,19778771523,9311492,1555630,16.71%,7358068286,12236404,0.17%,23832,7356397279,12442340,4191759724,23413239,300924862,10214361,8269344,10410799,8158831,1357901,4097009,1197677,290566,3925180374,1330474,297081613,7452498,183814,170727
Olden,bh,4444201637,4382660753,10745402,266810,2.48%,391884456,13009836,3.32%,12874,399313562,13310956,1539803582,47300757,1109910726,4705342,4229934,10445754,11827838,591202,782378,347019,212299,1362942330,3739168,983846197,106126,298509,172075
Olden,tsp,2538767970,2676349142,11645470,2618177,22.48%,274847880,6735694,2.45%,28194,250559753,7014549,484572026,26737206,168019622,8812733,2434987,9137854,11548978,2715240,1785633,992246,1242363,600616072,866552,217451804,231114,215676,477621
Olden,power,3273708804,2320930335,8312284,425715,5.12%,198109866,4794564,2.42%,12031,188826690,5202670,290007444,12469654,152971102,5190859,2418603,12617836,5662046,626755,1305277,623059,245132,353455659,871203,153953623,94122,495762,366638
Olden,bisort,1772635194,1906433968,18500858,772543,4.18%,251169108,10338076,4.12%,15940,259924148,11525917,487209129,35880336,265851544,19480310,6245134,9030298,25429608,862254,1229216,381318,169950,397086450,6536015,245396937,685152,205411,226377
Olden,voronoi,1541219846,2039304017,12765683,2788503,21.84%,308441707,7625979,2.47%,44570,320816239,8253225,503880731,24765851,292516562,10660286,3910025,10591531,6917997,884078,2490010,1518474,313427,471574637,1439977,303231895,335823,301054,366051
Olden,health,1660985353,1627715078,14644183,2859703,19.53%,304103572,9708447,3.19%,28787,295135655,9914955,383677340,34209739,266814539,16000817,9094163,13573823,11206867,3711859,1686863,1005994,4646070,333962548,2440323,235436669,356901,511224,524756
Olden,treeadd,1312192740,1959446049,10998562,3617786,32.89%,323246365,5275142,1.63%,44579,309885021,6254381,392703993,17368860,325809280,6505806,1493637,8753312,5574499,773154,2546672,1962028,181213,395292213,1089284,379556908,259586,191485,343794
Olden,perimeter,1320294713,1503162253,10173247,3438442,33.80%,317163311,7289045,2.30%,33646,307512851,7543428,338706545,16999133,236146448,6077291,2203682,10665274,4992578,748142,1954744,1089902,817414,271667321,1381646,180760061,269230,205158,218306
Olden,mst,807109554,806774958,7964346,1445543,18.15%,120188374,4348332,3.62%,18189,99178668,4645213,167350889,23165059,88725527,4046045,2478724,9919700,6597349,754736,951567,570153,205148,161472665,799426,127411180,216456,318084,264637
PAQ8p,paq8p,87036871567,149754570383,406039440,58503501,14.41%,8955101533,315748262,3.53%,94427,8953438115,316064300,25852923318,2404656022,8374993660,1434554228,800308100,20862125,393153953,54921269,4505666,2413847,1117302,25791885364,110924455,8489027856,6225376,255274,819658
Polybench,3mm,73265110472,20239361568,3242861787,2301747,0.07%,1704308911,7636692,0.45%,26686,1708727304,7990999,6594432621,3294271086,3332766011,8247027,4167433,13000480,3234795812,2091842,4857645,1941679,1091062,6704767409,3214674333,3318146600,692680,209072,189750
Polybench,2mm,49227682345,14841849092,2174101374,1707273,0.08%,1174725503,6871365,0.58%,22610,1194797305,7363852,4470962579,2198160663,2266709682,6881508,3579025,11618149,2163110286,1690332,4197416,1322856,487099,4453930621,2155909402,2245495348,499258,178454,166702
Polybench,gemm,49204888103,15931206333,2171953308,1888000,0.09%,1201043281,7310247,0.61%,20570,1210976977,7450020,4469176889,2206129516,2249441571,7926732,3612555,12660491,2141076129,1851299,3528064,1713451,267177,4480327019,2161128625,2231447827,282289,186780,157070
Polybench,symm,43314359544,6762389325,1628614249,1811173,0.11%,646195711,5700324,0.88%,18510,651997434,5953552,2838114518,1856606964,623924400,545576089,2179732,11597863,1625051628,1567508,3440625,1094216,448795,2852955649,1482455182,625238201,87466870,162011,171600
Polybench,covariance,19800347759,3521481239,133671545,711411,0.53%,335462860,4883912,1.46%,16250,335048267,5314715,1119097590,1166469349,593702103,4687685,5300375,10532922,130272279,1104626,2729612,1500947,665796,1234768333,733733760,668632968,614505,185796,170256
Polybench,correlation,19925558470,3771535743,113937088,846345,0.74%,348611515,4878790,1.40%,16278,335961438,4722471,1112761494,1164885206,600896431,5903598,5814016,15121850,108147557,733229,2778045,1028700,321900,1276603710,713412237,618327515,681433,419111,343031
Polybench,syr2k,14325059124,29104216694,33557274,3156994,9.41%,2264034244,7017987,0.31%,20555,2290092583,7390225,9061565571,674274991,4495273443,5174799,568088170,10852257,35325546,2736018,2407045,906295,7083915,8793591863,9419320,4417078792,283656,194640,166602
Polybench,gramschmidt,13637692679,7116592668,288237152,348674,0.12%,1289115349,25339525,1.97%,13955,1286625016,25375194,2145239937,298764961,1262700729,73385014,2278440,185569454,265445431,691156,1339518,1533333,421236,2155141488,272216498,1241181916,16088110,192677,6281432
Polybench,syrk,7434362571,15329025535,11086487,518626,4.68%,1206572726,6836602,0.57%,18509,1211600307,7005877,4715032224,296997560,2365649102,6879584,256589602,14265842,12242191,2056221,2037104,1069918,357966,4451522380,5090728,2306833358,61109,195791,155348
Polybench,fdtd-apml,9301683679,9061810503,7282945,862338,11.84%,1740802367,33572218,1.93%,17766,1744903400,34074229,2604314077,34192382,1587644649,7996485,2160755,232863614,4716909,619937,1419630,1482581,312735,2411212350,32765167,1504004520,5883494,676867,7269825
Polybench,floyd-warshall,5977877421,15823896028,89098355,499287,0.56%,1224770519,6664279,0.54%,16445,1242385146,7007723,7460130000,299766634,2434822163,286174702,271843544,16487044,103467681,795725,1410408,786887,347203,6003125290,4829498,2288639758,244786,490088,342423
Polybench,adi,4810485158,2964316871,15263883,2121879,13.90%,254316614,4913843,1.93%,18494,262058031,4829673,901386647,118470695,342853991,46903491,88216853,10385122,18099864,3335698,2084000,1411982,11512376,872273086,2609845,426122989,343552,173996,167825
Polybench,durbin,3983676717,880051721,95005549,9173800,9.66%,129326960,4450756,3.44%,74902,125793387,4859049,215025400,149176887,205909051,48886583,3582307,14064469,54903131,1059108,22801250,9788020,4480437,279010991,40170004,180183351,23648761,218058,244510
Polybench,doitgen,3250398197,4221042898,7067403,815190,11.53%,379602447,9329972,2.46%,24689,385718918,9922405,1380794132,696290361,679000272,6303457,5259282,9748103,5920846,900161,1868208,1219195,790770,1217976113,1109578,843884776,332846,196719,186972
Polybench,fdtd-2d,2443180136,2767956818,54937629,7593134,13.82%,203133689,5333019,2.63%,24089,211274434,5505923,946126376,138914179,389389687,50841038,92279412,16114870,81544199,10119299,2795580,1358160,3428297,791113871,2534154,290990383,467835,207524,221009
Polybench,trmm,2577899099,4578561216,12677129,1603526,12.65%,380028144,5758377,1.52%,16484,399144818,5731328,1471125201,92751429,708626321,4181283,78633859,11123462,9691981,553573,906386,886475,294487,1048852371,2673070,616504563,178125,167273,162105
Polybench,seidel-2d,2432177247,1631052514,6695299,547475,8.18%,122857274,4471780,3.64%,16272,123089053,5029010,304784220,22302059,243672156,12154444,6747015,13466418,5425450,828888,1305433,679317,255726,254403562,1125301,103646484,89170,237117,176598
Polybench,mvt,2943684549,1641455659,64363938,8857660,13.76%,220942404,6953920,3.15%,43683,194016926,6762095,281790137,112413431,253374005,9385881,26741052,22310584,54290961,7986615,3004207,1538597,404440,353588681,26042438,228146298,1023281,496504,454029
Polybench,cholesky,1977805377,2682399652,13657361,654566,4.79%,285137802,5997447,2.10%,16456,303697452,6649942,1132349904,70538902,91373446,5238763,50543384,10609832,8846275,751447,1668132,979206,339425,630397578,3707776,162226212,106061,199941,197982
Polybench,gemver,2027029333,842296902,43216254,8079288,18.70%,144086145,4619368,3.21%,74921,159754631,5258640,386157511,57228419,213277376,8440627,8987199,10192742,23771481,3441761,4253667,3502763,1127082,232060669,21256681,141645794,1083630,231144,268565
Polybench,dynprog,1758345582,3697181829,31052711,390709,1.26%,420925200,6700531,1.59%,12480,418505526,7466257,1298728542,71007959,580394390,49418327,22569812,8515684,22536012,749752,2444512,248915,123155,1177951054,479234,642751760,65491,260496,207737
Polybench,gesummv,1399219292,1001833240,13211118,5027453,38.05%,144723233,4396709,3.04%,74868,171538839,5674916,340675575,19848713,179925748,9132556,1583884,9578702,6510802,1279850,2926092,2160037,5087053,346909338,1843844,202319934,863774,253928,281634
Polybench,jacobi-2d-imper,1198184621,1464512214,22206055,1471547,6.63%,130522444,4766657,3.65%,18200,140460703,6002188,241574332,19545279,156499432,19951487,10084721,12709646,15034370,1750780,8388239,1195790,515600,216328382,1089191,112962073,435707,172233,175408
Polybench,bicg,1144340960,945117440,9199993,2455869,26.69%,129794972,4597111,3.54%,43636,126340453,4999334,375069161,25133520,179147818,8866499,2418858,11264685,5107136,799383,2561205,1726039,224203,162336064,1679888,135164049,809348,308653,264699
Polybench,atax,1256660311,1213276966,13321926,4317016,32.41%,161833343,5320465,3.29%,43653,165595688,5713837,209629286,19286341,163469783,8378178,2535556,14215898,6181146,700216,2462252,1701275,206799,188205231,1461021,153000476,687037,471072,421041
Polybench,trisolv,1041535699,834356858,10891584,3507299,32.20%,129326928,4768883,3.69%,43644,107991652,5678131,198968107,15674578,130933969,6897015,2085571,10497994,4696922,802822,2270969,1496724,229405,137780870,1152090,103220624,1003397,212387,233682
Polybench,reg_detect,776399808,725321272,10625458,842085,7.93%,119104444,6549894,5.50%,12345,117060094,7147789,228182557,16088220,118345085,5646376,1885589,11361217,5661952,514457,822952,245911,73236,389378453,726012,315548243,104644,442004,417006
Polybench,jacobi-1d-imper,638273133,558460758,8814738,469046,5.32%,87304850,4766497,5.46%,12477,87622768,5931763,158307923,12719363,90338435,3956058,1192766,7603743,5188223,517519,884777,246430,167498,158133537,883587,83453986,128030,460756,372141
Polybench,lu,1117424316,803201818,17309350,446998,2.58%,145215378,6679853,4.60%,12431,136745133,7157884,252696251,22074259,138555333,6678904,2451964,14167147,6964903,620230,971083,305098,157974,201860883,1157737,98091526,200775,1526210,829248
Prolangs-C,gnugo,798691853,1157525539,5824010,320301,5.50%,169489790,6518286,3.85%,12388,114471757,5992041,168908156,14992949,109571705,5039029,2373875,11775327,4714222,570879,661221,355826,131997,136908931,725927,123299467,84320,246439,216425
Prolangs-C,timberwolfmc,600703906,509308286,8484972,492480,5.80%,89464993,4898880,5.48%,11962,81950027,5268248,169047261,11928435,90745528,4313971,1446450,8742635,3642896,482248,654727,162028,126560,142512988,826432,86333743,142053,423572,384334
Prolangs-C,mybison,621726285,532915526,8622690,658310,7.63%,93690773,4960689,5.29%,11956,86304384,5264260,164395515,12413787,92306997,4339671,1334576,7959534,3871456,505244,728881,310002,112731,113325865,736960,70545434,114890,485768,363079
Prolangs-C,unix-smail,740660838,628481056,9730019,406307,4.18%,103962022,5442917,5.24%,11980,94953657,5478962,159691888,14226942,102102374,4834510,2288007,11542474,4718507,363789,836950,222337,173626,157357341,1275239,95549184,138391,423911,376744
Prolangs-C,agrep,745825993,623370922,9446301,474955,5.03%,109214722,5857517,5.36%,12368,103824271,5902232,163003285,14942545,108740307,5000122,2333756,12394799,4580352,302872,738251,324180,173208,154400955,1137246,95133905,163984,517185,448155
Prolangs-C,unix-tbl,1052014960,743930593,16382831,463925,2.83%,139757177,6317730,4.52%,11838,126523350,6873973,238731592,19170464,131381658,6241124,2217297,12042641,6945751,570881,814688,261918,91799,176971231,1207141,105379246,198551,1209081,770664
Prolangs-C,compiler,617019042,518831212,7934972,498796,6.29%,88604628,4769020,5.38%,11785,83754135,4916693,136757857,11948292,86564433,4005086,1899043,9083314,4086996,379099,638077,228884,126391,119903966,1103897,77893237,168013,367055,331520
Prolangs-C,allroots,583631259,501142573,8002876,408238,5.10%,82851476,4472501,5.40%,11795,85201756,5461924,165762617,11615722,85561088,3808586,1186405,7268863,4385807,426204,618321,135917,183839,172693017,809889,78120845,110766,327620,396449
Prolangs-C,assembler,623400667,529510214,8789219,696315,7.92%,94655014,4997355,5.28%,11830,82386309,5082199,158821745,11698807,89121548,4231324,1309670,7697842,4094091,465990,707422,322997,97302,101599432,701886,67349172,110148,457895,387178
Prolangs-C,loader,601456069,508781552,7849600,363239,4.63%,84293421,4501588,5.34%,11822,79397776,4597712,132158591,11587441,83944975,3914082,1860202,8754971,3827915,393852,787101,151659,194448,139796540,1201144,80949460,120567,372976,332937
Prolangs-C,archie,634402835,544328022,8522404,484336,5.68%,87428011,4627459,5.29%,11843,84931097,5521827,149707975,12222412,84356337,3996736,1169163,7466506,3345739,486986,693219,192037,119719,120550583,755760,81326503,124195,369392,353860
Prolangs-C,simulator,618379031,525926671,7945974,412483,5.19%,80996715,4320272,5.33%,11847,81731699,5366737,170810475,11945029,80484241,3971475,1171144,6883534,4889774,520915,751039,192993,137718,153601544,829033,79314368,118621,352704,329627
Prolangs-C,football,588761464,510203923,7961993,467957,5.88%,80303352,4367008,5.44%,11807,75131397,5112047,173727004,12208776,82996091,4151164,1294619,7740835,3444794,491695,636058,168291,188641,153650129,854927,79497266,123347,401498,365901
Prolangs-C,cdecl,610708396,530345318,8542247,616298,7.21%,91210969,4724565,5.18%,11832,78242616,4947379,154023461,11598029,87778308,4066944,1447523,8120346,3552431,470902,720847,229474,177704,142240299,809352,76508941,116961,447142,340120
Prolangs-C,plot2fig,574623461,489096247,7441811,502019,6.75%,89372659,4903852,5.49%,11837,86892856,5055898,159011252,11897623,88974620,4160852,1301581,7740991,4679796,529067,725077,281168,78962,110493265,692566,68818589,130076,390201,343116
Prolangs-C,fixoutput,572306058,486628039,7621052,539052,7.07%,90006236,4993116,5.55%,11795,85505184,4913068,151919072,11313618,87547064,3976836,1750254,8657511,3660816,408932,725814,362587,176739,141839881,987639,74917468,119849,279793,460937
Ptrdist,ks,3454493520,7638055221,5550777,400872,7.22%,2314671935,11390979,0.49%,11841,2281078023,11220484,2022314981,16283268,79985208,3723578,2925644,10407735,4897109,664999,1417525,516211,273130,1707674579,4661761,39273042,64611,201146,167434
Ptrdist,ft,2538587611,1336407780,16761555,669805,4.00%,265787720,5218729,1.96%,14808,259042398,5323364,470033454,199351576,104686919,6129424,95610008,10790770,15682068,703582,1237866,929436,308531,369438102,7222113,56219979,102177,148908,176606
Ptrdist,yacr2,2525295827,5364071412,6007357,458931,7.64%,1468760465,17500899,1.19%,12794,1561432880,17539116,1175109942,7932078,407668977,4681972,1724502,10945723,4858542,793342,1459637,399959,211632,967091808,566169,91759594,66144,194736,173471
Ptrdist,anagram,2761623802,5519858034,6633525,541548,8.16%,937549207,30472784,3.25%,11902,935854089,31637717,2251068890,9876073,361034597,4427026,3500507,10830152,4964133,644415,907538,417869,262849,1946889978,1237752,358160229,149366,242367,257767
Ptrdist,bc,2145736945,3422314820,7774601,764319,9.83%,642646929,14169370,2.20%,17268,636128855,14187280,831671956,15307755,453661811,5063136,2289095,14138035,5007878,575547,1447182,667646,263606,635149713,1426233,466100023,146992,1389785,376967
Rodinia,backprop,2773472939,2484026077,289371122,349327,0.12%,213118432,4340507,2.04%,13549,214003076,4493482,555813064,282294258,258717919,171841229,24232099,11385944,241920346,682850,1552980,575537,170777,530664557,5096872,240328792,176433,188434,174062
Rodinia,pathfinder,2274738365,3649524898,10345721,4786000,46.26%,405793514,4905491,1.21%,61179,421528089,4549018,691226524,18308600,411144620,7723369,5183859,11910656,5431885,1105447,3346716,2504035,2025974,525389334,1639334,407548555,463186,179229,233893
Rodinia,srad,2082574204,1828747924,12320540,2394691,19.44%,208619845,10328923,4.95%,26195,168281403,11725200,191532354,33791151,140195732,17340610,9499140,9895076,9735124,5659916,2475533,1517538,7987864,222848252,879191,185585572,202440,211155,192109
Rodinia,hotspot,2036156847,1395410483,24961895,461213,1.85%,126540983,4714534,3.73%,13329,133189436,5110803,339613522,48946534,146574350,19055319,16132896,12044232,12623873,595102,5068411,548644,163349,358159805,1499426,158340536,464118,549097,311135
SciMark2-C,scimark2,102698280574,228903962407,6295290,275301,4.37%,21220178556,106868544,0.50%,11844,21261200051,106950690,54486721352,2396819306,19887210176,1103263417,1722690709,11813890,5586369,459932,1373326,552857,592583,53943274633,1795369,19839583752,156837,306191,209995
Shootout-C++,Shootout-C++-methcall,13868562112,21199236013,3592798,316306,8.80%,7138540776,5099996,0.07%,11868,7179989164,6292419,9508092810,15242306,4585106144,6865070,4556916,8877703,7526720,676683,745697,88160,12039,9692328975,476834,4843946559,84747,149818,151967
Shootout-C++,Shootout-C++-lists,11478047079,25877034065,40310844,423564,1.05%,6109954339,12157064,0.20%,12012,6095879949,12076648,7455628496,308675487,3885925414,180709803,114146678,10101426,40164095,640366,3876905,724002,386810,6870780318,932363,3891839500,64131,190156,151547
Shootout-C++,Shootout-C++-heapsort,7516502961,4338680207,186598423,15013541,8.05%,918013811,90746696,9.89%,27507,908499221,90150730,659599818,269527992,310005196,111114967,88792326,11216939,177569465,13895046,1314314,588762,3231936,682508443,60989889,263531435,409451,200886,191963
Shootout-C++,Shootout-C++-fibo,6410848859,13982544214,5262869,258596,4.91%,2950319720,19571739,0.66%,11864,2930763060,19628331,2304468272,10449396,2926221502,3742954,1681481,9738579,4365618,522411,1004550,655412,337967,2163346275,971556,2965289835,59228,166152,166261
Shootout-C++,Shootout-C++-random,6270464974,4918987725,5495838,362661,6.60%,286945415,4497987,1.57%,11889,280942642,4084711,66824088,10908459,75781884,2890053,1241850,7639146,3713840,256778,1364119,454096,223317,171661175,2300180,97824743,252314,228462,192333
Shootout-C++,Shootout-C++-sieve,5239145179,3886456396,12129907,525010,4.33%,867794361,5744795,0.66%,11911,861317058,6021155,952169386,353528410,223384441,20586619,4086453,10600942,9813253,678123,1732941,662526,240457,920305936,733369,193597519,52148,215087,165182
Shootout-C++,Shootout-C++-hash2,5584509610,10820367911,8562239,399704,4.67%,2184077194,35804868,1.64%,12133,2171746091,36208953,2410510103,46327202,315202141,14383080,28129092,12709786,7990611,800559,1587897,511556,246623,2251869429,1730358,282922595,52909,777942,160876
Shootout-C++,Shootout-C++-ackermann,4283343087,6870848408,9795618,405357,4.14%,2271435347,6187177,0.27%,11979,2249743426,6794464,857943844,171663856,811274612,95222519,75750193,9319107,8836469,765865,2442162,300839,209593,819376920,909793,786780801,67252,173279,2532486
Shootout-C++,Shootout-C++-matrix,3491310639,9810362317,5551714,391209,7.05%,134549634,4616246,3.43%,11844,134059301,4347380,2553044339,11028293,214562589,3787985,1737442,10767246,4933036,697907,1415305,506967,213135,2418187725,609185,182865175,54781,178755,196246
Shootout-C++,Shootout-C++-ary3,2237983009,3182183805,204076929,447538,0.22%,279409741,4309446,1.54%,14781,275017763,4235840,977087405,214727580,481315413,104485818,68442906,11046217,166517928,732798,1746776,1025007,232859,800006779,4023681,500792593,248082,176103,167252
Shootout-C++,Shootout-C++-hash,2098852903,3116013251,14298341,1682906,11.77%,565608036,10794946,1.91%,32997,527059045,11851539,661238955,39343463,377531222,11961585,6807970,9481243,11868915,2867951,2282208,567060,4835848,651749165,1799054,371228707,207923,192706,204722
Shootout-C++,Shootout-C++-lists1,1237670863,2023255785,10511912,2503072,23.81%,327861688,5009434,1.53%,27520,265887561,5678473,544614304,21728392,345245118,8172908,4325514,7432625,6034528,1179670,1518301,1113596,3233159,435569174,1140855,312734676,388475,307507,286607
Shootout-C++,Shootout-C++-except,1078541291,1673890413,5915364,366594,6.20%,307391506,7207602,2.34%,11861,297756781,7689418,379106340,13952642,182464043,4817555,1669179,10559146,4770405,795733,806925,143669,158430,334799739,666993,220392563,72442,209445,197639
Shootout-C++,Shootout-C++-moments,1011318239,949858091,10668389,2119317,19.87%,132768478,5142114,3.87%,38047,144033674,6039032,211066666,16730350,120600505,4157050,1445063,8129918,6484045,1090774,2215339,491397,3750984,171044152,1199849,185975547,632039,251427,229195
Shootout-C++,Shootout-C++-strcat,892003282,918101383,9022973,949707,10.53%,209067119,4799278,2.30%,27137,144074198,5537051,209543366,14035025,176409576,4397639,1333468,7636782,5355423,722867,1092287,432744,262014,198254706,964806,138321907,280499,303082,288929
Shootout-C++,Shootout-C++-ary,850327043,527372306,9871473,3104855,31.45%,101135193,4613858,4.56%,29461,94488611,4999401,174395308,14274107,106309453,5770514,2661167,12818440,4950592,526303,1484355,1028337,196411,161296258,1556313,118252702,494405,305204,361659
Shootout-C++,Shootout-C++-ary2,815658337,507903752,9386029,3032616,32.31%,94318480,4361190,4.62%,29458,87917862,4557183,222996008,15601905,114913055,5565495,1865008,10669387,4789806,782731,1184344,997388,121866,153892630,1381441,109712956,478405,272625,318541
Shootout-C++,Shootout-C++-reversefile,621292680,519210293,7970261,403457,5.06%,89733255,4783839,5.33%,11900,83963696,4770652,137259834,12082573,86951919,4073455,1907558,9850162,4361374,394356,643922,271198,118188,128188412,1112185,80252359,126993,333411,351167
Shootout-C++,Shootout-C++-hello,651551095,547276557,8887943,528936,5.95%,97900101,5241157,5.35%,11868,87534711,5215278,168718087,12815516,92445912,4384406,1837606,8860109,3445951,377438,683443,371310,168442,142688590,1197552,87363651,129252,400105,369533
Shootout-C++,Shootout-C++-sumcol,881958080,773565711,10707324,356617,3.33%,145260632,6256671,4.31%,11878,130123711,6509723,187818945,16855275,120228962,5615243,2688616,13100114,4856469,551747,838482,169461,166106,205564124,932576,111090662,167243,675383,510018
Shootout-C++,Shootout-C++-spellcheck,608974241,522442106,8083788,391941,4.85%,88080827,4814560,5.47%,11896,82468163,4768109,111466685,9985885,90322591,4207688,1927203,9383534,4205420,424240,705063,235122,221434,126520501,1121344,86268903,129646,382044,330506
Shootout-C++,Shootout-C++-nestedloop,592662098,519542249,8216838,578735,7.04%,87448715,4833480,5.53%,11861,87744489,5593886,177286128,12368671,87721242,3553318,1113729,7053624,4536118,509647,551959,221753,100256,192921210,864561,79943085,120064,394447,368591
Shootout-C++,Shootout-C++-wordfreq,614286023,518781385,7740268,509581,6.58%,87028937,4785399,5.50%,11878,83457844,5122392,165978497,12693554,88362070,4322592,1622055,8668959,3434808,498062,649829,362319,136612,131761781,804490,68545477,143089,403722,344262
Shootout-C++,Shootout-C++-wc,618075615,517431277,7903502,549235,6.95%,92735278,4891342,5.27%,11863,89154302,4657991,133910624,11786563,87849572,4049826,1645693,9095638,3826752,467252,642379,203209,189901,151481077,815167,78300776,121062,339061,334227
Shootout-C++,Shootout-C++-objinst,927628095,669518303,13426280,597460,4.45%,116027021,6259573,5.39%,11858,110591867,6948268,235494861,16516643,116837545,5762387,1728082,10495152,6812686,557561,776444,199894,103166,196002100,1041856,94169303,172475,1283721,675325
Shootout-C++,Shootout-lists,13892612235,22645019401,4939216,354030,7.17%,3222186082,25505950,0.79%,11784,3213562478,25649868,6685325456,10556540,6618285631,3593201,1707788,11547957,4705489,453033,1175017,609227,518670,6410604445,1219849,6613527388,138943,166566,148635
Shootout-C++,Shootout-hash,13051566637,14777710904,176508768,16595371,9.40%,3197382238,42559642,1.33%,78788,3341403905,43451766,3611353316,352944326,1757072405,32999834,26794471,14987758,172878187,11437877,6627203,3108038,1853935,3360259760,10476633,1574699663,647845,6463577,375364
