File,Size
csm_rand_310.c.out,43258
csm_rand_192.c.out,16021
csm_rand_669.c.out,75818
csm_rand_864.c.out,12837
csm_rand_28.c.out,89194
csm_rand_838.c.out,6670
csm_rand_619.c.out,46486
csm_rand_960.c.out,30034
csm_rand_510.c.out,52626
csm_rand_473.c.out,82362
csm_rand_799.c.out,43550
csm_rand_896.c.out,59714
csm_rand_752.c.out,67714
csm_rand_164.c.out,63110
csm_rand_353.c.out,44032
csm_rand_945.c.out,62162
csm_rand_240.c.out,62394
csm_rand_259.c.out,11953
csm_rand_723.c.out,10113
csm_rand_997.c.out,70346
csm_rand_964.c.out,50682
csm_rand_106.c.out,2346
csm_rand_388.c.out,70946
csm_rand_512.c.out,48770
csm_rand_393.c.out,41066
csm_rand_965.c.out,70362
csm_rand_95.c.out,2601
csm_rand_648.c.out,45898
csm_rand_202.c.out,48361
csm_rand_688.c.out,67842
csm_rand_365.c.out,2553
csm_rand_500.c.out,39409
csm_rand_678.c.out,13914
csm_rand_636.c.out,54746
csm_rand_625.c.out,8986
csm_rand_727.c.out,30290
csm_rand_680.c.out,8833
csm_rand_322.c.out,61946
csm_rand_115.c.out,18042
csm_rand_733.c.out,35722
csm_rand_315.c.out,44147
csm_rand_241.c.out,48394
csm_rand_316.c.out,143842
csm_rand_840.c.out,34370
csm_rand_764.c.out,41137
csm_rand_74.c.out,48770
csm_rand_552.c.out,26310
csm_rand_279.c.out,52498
csm_rand_918.c.out,2298
csm_rand_885.c.out,44106
csm_rand_803.c.out,80514
csm_rand_262.c.out,10202
csm_rand_930.c.out,30945
csm_rand_684.c.out,24706
csm_rand_56.c.out,54914
csm_rand_853.c.out,44130
csm_rand_640.c.out,2414
csm_rand_223.c.out,34570
csm_rand_15.c.out,57546
csm_rand_626.c.out,94538
csm_rand_407.c.out,38890
csm_rand_685.c.out,8601
csm_rand_198.c.out,46090
csm_rand_708.c.out,7065
csm_rand_278.c.out,23466
csm_rand_877.c.out,141858
csm_rand_75.c.out,29313
csm_rand_492.c.out,6022
csm_rand_440.c.out,2482
csm_rand_778.c.out,71274
csm_rand_832.c.out,49009
csm_rand_568.c.out,12186
csm_rand_934.c.out,8713
csm_rand_178.c.out,11698
csm_rand_402.c.out,12698
csm_rand_808.c.out,51027
csm_rand_592.c.out,19681
csm_rand_247.c.out,6714
csm_rand_813.c.out,71410
csm_rand_521.c.out,11729
csm_rand_633.c.out,21033
csm_rand_104.c.out,76666
csm_rand_326.c.out,21614
csm_rand_715.c.out,31834
csm_rand_755.c.out,87698
csm_rand_726.c.out,32370
csm_rand_525.c.out,27240
csm_rand_694.c.out,85378
csm_rand_630.c.out,2379
csm_rand_284.c.out,55194
csm_rand_621.c.out,6473
csm_rand_124.c.out,2776
csm_rand_356.c.out,62082
csm_rand_787.c.out,12377
csm_rand_576.c.out,24946
csm_rand_2.c.out,64206
csm_rand_117.c.out,5940
csm_rand_686.c.out,6586
csm_rand_865.c.out,35882
csm_rand_882.c.out,2450
csm_rand_141.c.out,40866
csm_rand_943.c.out,2729
csm_rand_953.c.out,67490
csm_rand_654.c.out,27050
csm_rand_88.c.out,91834
csm_rand_286.c.out,101090
csm_rand_336.c.out,2961
csm_rand_990.c.out,8301
csm_rand_532.c.out,65162
csm_rand_590.c.out,26250
csm_rand_4.c.out,18414
csm_rand_413.c.out,19002
csm_rand_844.c.out,2298
csm_rand_264.c.out,2511
csm_rand_644.c.out,59066
csm_rand_815.c.out,77762
csm_rand_658.c.out,9426
csm_rand_758.c.out,2489
csm_rand_340.c.out,104918
csm_rand_82.c.out,16586
csm_rand_61.c.out,69482
csm_rand_384.c.out,32262
csm_rand_140.c.out,1754
csm_rand_458.c.out,7570
csm_rand_895.c.out,91250
csm_rand_243.c.out,15945
csm_rand_962.c.out,1738
csm_rand_677.c.out,7537
csm_rand_565.c.out,124506
csm_rand_806.c.out,2777
csm_rand_478.c.out,2995
csm_rand_683.c.out,2567
csm_rand_706.c.out,24146
csm_rand_177.c.out,84370
csm_rand_408.c.out,27549
csm_rand_937.c.out,9521
csm_rand_58.c.out,8362
csm_rand_757.c.out,25970
csm_rand_531.c.out,34858
csm_rand_257.c.out,5017
