,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Performance Events,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
LLVM centroids,6323729063.0,8555285269.0,101356610.0,1626772.0,1084125774.0,21199648.0,17076.0,1079121093.0,21433085.0,2139558264.0,221265259.0,889015440.0,65995353.0,75445200.0,12276300.0,92900849.0,1641923.0,11361157.0,794907.0,780453.0,2045699421.0,41031769.0,884493063.0,1284331.0,762006.0,313942.0
SPEC 2017 centroids,895685440438.0,1097761606878.0,7722508845.0,993242011.0,207998607082.0,4227217127.0,2645953.0,207902828324.0,4233327324.0,313351083519.0,17683803500.0,149916831074.0,4487835581.0,5881417425.0,5683761347.0,6083579929.0,922210934.0,1082253044.0,397736338.0,1221837441.0,309885128596.0,1126031828.0,149987436954.0,93318393.0,251360379.0,117430129.0
BenchGen centroids,6787158974.0,16391153399.0,118518634.0,8507208.0,3301709469.0,26459754.0,140222.0,3309345072.0,29067522.0,6758377391.0,41748381.0,,,,2185742.0,,,,,,4972358.0,543848.0,,,87975.0,1159347.0
BenchGen distance to LLVM centroids,463429911.0,7835868130.0,17162024.0,6880436.0,2217583695.0,5260106.0,123146.0,2230223979.0,7634437.0,4618819127.0,-179516878.0,,,,-10090558.0,,,,,,-2040727063.0,-40487921.0,,,-674031.0,845405.0
BenchGen distance to SPEC 2017 centroids,-888898281464.0,-1081370453479.0,-7603990211.0,-984734803.0,-204696897613.0,-4200757373.0,-2505731.0,-204593483252.0,-4204259802.0,-306592706128.0,-17642055119.0,,,,-5681575605.0,,,,,,-309880156238.0,-1125487980.0,,,-251272404.0,-116270782.0
