File,Size
csm_rand_659.c.out,80251
csm_rand_322.c.out,80147
csm_rand_356.c.out,79875
csm_rand_909.c.out,79819
csm_rand_203.c.out,78667
csm_rand_92.c.out,78655
csm_rand_581.c.out,78563
csm_rand_438.c.out,78555
csm_rand_675.c.out,78443
csm_rand_81.c.out,78427
csm_rand_624.c.out,78335
csm_rand_768.c.out,78291
csm_rand_111.c.out,78283
csm_rand_688.c.out,78219
csm_rand_879.c.out,77949
csm_rand_564.c.out,77803
csm_rand_240.c.out,77563
csm_rand_495.c.out,76987
csm_rand_811.c.out,76803
csm_rand_912.c.out,76115
csm_rand_594.c.out,76043
csm_rand_33.c.out,75795
csm_rand_433.c.out,75531
csm_rand_896.c.out,75491
csm_rand_249.c.out,75187
csm_rand_702.c.out,74291
csm_rand_15.c.out,73875
csm_rand_697.c.out,73843
csm_rand_2.c.out,73775
csm_rand_422.c.out,73659
csm_rand_327.c.out,73291
csm_rand_786.c.out,73166
csm_rand_665.c.out,73019
csm_rand_820.c.out,72771
csm_rand_712.c.out,72723
csm_rand_364.c.out,72495
csm_rand_218.c.out,72435
csm_rand_673.c.out,72363
csm_rand_284.c.out,72323
csm_rand_472.c.out,72251
csm_rand_190.c.out,72027
csm_rand_831.c.out,71979
csm_rand_615.c.out,71939
csm_rand_128.c.out,71483
csm_rand_25.c.out,71467
csm_rand_372.c.out,71443
csm_rand_549.c.out,71227
csm_rand_85.c.out,71131
csm_rand_710.c.out,71091
csm_rand_855.c.out,70967
csm_rand_777.c.out,70915
csm_rand_342.c.out,70867
csm_rand_483.c.out,70811
csm_rand_644.c.out,70715
csm_rand_378.c.out,70491
csm_rand_676.c.out,70403
csm_rand_7.c.out,70339
csm_rand_579.c.out,70019
csm_rand_749.c.out,69763
csm_rand_731.c.out,69067
csm_rand_724.c.out,68515
csm_rand_379.c.out,68151
csm_rand_908.c.out,67083
csm_rand_179.c.out,66979
csm_rand_808.c.out,66916
csm_rand_571.c.out,66913
csm_rand_279.c.out,66883
csm_rand_99.c.out,66851
csm_rand_547.c.out,66827
csm_rand_169.c.out,66539
csm_rand_489.c.out,66331
csm_rand_199.c.out,66203
csm_rand_397.c.out,65391
csm_rand_794.c.out,65363
csm_rand_154.c.out,65267
csm_rand_681.c.out,65198
csm_rand_507.c.out,65198
csm_rand_90.c.out,64643
csm_rand_56.c.out,64403
csm_rand_885.c.out,64371
csm_rand_357.c.out,64215
csm_rand_695.c.out,64203
csm_rand_302.c.out,64111
csm_rand_451.c.out,63987
csm_rand_510.c.out,63603
csm_rand_933.c.out,63467
csm_rand_598.c.out,63355
csm_rand_398.c.out,63267
csm_rand_46.c.out,63235
csm_rand_738.c.out,63135
csm_rand_45.c.out,62979
csm_rand_236.c.out,62211
csm_rand_87.c.out,61931
csm_rand_163.c.out,61779
csm_rand_967.c.out,61703
csm_rand_648.c.out,61499
csm_rand_152.c.out,61343
csm_rand_333.c.out,61291
csm_rand_166.c.out,61107
csm_rand_999.c.out,60939
csm_rand_922.c.out,60931
csm_rand_437.c.out,60907
csm_rand_619.c.out,60167
csm_rand_256.c.out,60159
csm_rand_74.c.out,59899
csm_rand_845.c.out,59851
csm_rand_66.c.out,59823
csm_rand_36.c.out,59775
csm_rand_251.c.out,59775
csm_rand_861.c.out,59338
csm_rand_496.c.out,59291
csm_rand_164.c.out,59151
csm_rand_108.c.out,59123
csm_rand_401.c.out,58739
csm_rand_315.c.out,58736
csm_rand_942.c.out,58683
csm_rand_311.c.out,58371
csm_rand_202.c.out,58250
csm_rand_125.c.out,58123
csm_rand_964.c.out,58035
csm_rand_241.c.out,57843
csm_rand_907.c.out,57835
csm_rand_998.c.out,57683
csm_rand_825.c.out,57675
csm_rand_377.c.out,57491
csm_rand_636.c.out,57427
csm_rand_913.c.out,57195
csm_rand_639.c.out,56931
csm_rand_951.c.out,56315
csm_rand_477.c.out,55871
csm_rand_78.c.out,55843
csm_rand_540.c.out,55723
csm_rand_174.c.out,55627
csm_rand_512.c.out,55515
csm_rand_263.c.out,55475
csm_rand_411.c.out,55443
csm_rand_409.c.out,55291
csm_rand_167.c.out,55243
csm_rand_554.c.out,55139
csm_rand_198.c.out,55051
csm_rand_427.c.out,54979
csm_rand_979.c.out,54571
csm_rand_151.c.out,54411
csm_rand_663.c.out,54115
csm_rand_542.c.out,53798
