functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,169,115,53,0,115,53,0,98,17,17,35,0,158,11,0,221,20,0,78,53,910,115,111,0,1276,7.550296,0.000000,0.000000,169,169,0,0,0,0,0,0,43,42,0,0,5,100,42,0,22,22,289,409,111,90,1267,1,909,1,487,0
func0,43,29,13,0,29,13,0,24,5,5,7,0,36,7,0,55,3,0,22,13,236,29,31,0,337,7.837209,0.000000,0.000000,43,43,0,0,0,0,0,0,15,14,0,0,2,28,12,0,8,4,78,105,31,30,334,0,236,0,133,0
func1,29,20,8,0,20,8,0,18,2,2,5,0,25,4,0,36,1,0,11,8,147,20,19,0,211,7.275862,0.000000,0.000000,29,29,0,0,0,0,0,0,9,8,0,0,1,17,5,0,4,3,43,63,20,13,208,0,147,0,78,0
func2,100,68,31,0,69,29,1,58,11,10,19,0,86,14,0,130,7,0,46,31,530,68,73,0,755,7.550000,0.000000,0.000000,100,100,0,0,0,0,0,0,30,29,0,0,5,66,25,0,16,8,175,235,68,71,752,0,530,0,292,0
func3,95,68,26,0,68,26,0,63,4,5,21,0,88,7,0,120,4,0,37,26,450,68,73,0,649,6.831579,0.000000,0.000000,95,95,0,0,0,0,0,0,16,15,0,0,1,63,17,0,10,14,122,192,65,30,635,0,450,0,204,0
func4,23,16,6,0,16,6,0,15,0,1,5,0,20,3,0,28,0,0,5,6,102,16,17,0,149,6.478261,0.000000,0.000000,23,23,0,0,0,0,0,0,4,3,0,0,1,15,1,0,2,2,26,40,17,10,143,0,102,0,48,0
func5,15,10,4,0,10,4,0,9,0,1,3,0,12,3,0,18,0,0,4,4,73,10,11,0,106,7.066667,0.000000,0.000000,15,15,0,0,0,0,0,0,4,3,0,0,1,10,1,0,2,1,21,29,12,10,102,0,73,0,39,0
func6,11,7,3,0,7,3,0,6,1,1,1,0,8,3,0,13,0,0,3,3,60,7,5,0,86,7.818182,0.000000,0.000000,11,11,0,0,0,0,0,0,6,5,0,0,1,5,1,0,2,0,19,25,8,8,85,0,60,0,39,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
