functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,112,72,39,0,72,39,0,56,16,16,22,0,99,13,0,150,21,0,82,39,764,72,75,0,1050,9.375000,0.000000,0.000000,112,112,0,0,0,0,0,0,51,50,0,0,6,70,49,0,26,16,283,366,83,103,1062,1,763,1,472,0
func0,29,19,9,0,19,9,0,15,4,4,4,0,23,6,0,37,2,0,15,9,167,19,19,0,237,8.172414,0.000000,0.000000,29,29,0,0,0,0,0,0,12,11,0,0,2,18,8,0,6,2,58,74,21,25,236,0,167,0,101,0
func1,11,7,3,0,7,3,0,6,1,1,1,0,8,3,0,13,0,0,3,3,60,7,5,0,86,7.818182,0.000000,0.000000,11,11,0,0,0,0,0,0,6,5,0,0,1,5,1,0,2,0,19,25,8,8,85,0,60,0,39,0
func10,21,14,6,0,14,6,0,12,2,2,3,0,17,4,0,26,1,0,9,6,123,14,11,0,173,8.238095,0.000000,0.000000,21,21,0,0,0,0,0,0,9,8,0,0,1,11,5,0,4,1,41,55,16,13,174,0,123,0,74,0
func11,29,20,8,0,20,8,0,18,2,2,5,0,25,4,0,36,1,0,10,8,146,20,19,0,210,7.241379,0.000000,0.000000,29,29,0,0,0,0,0,0,9,8,0,0,1,17,5,0,4,2,43,63,20,13,207,0,146,0,78,0
func12,19,13,5,0,13,5,0,12,1,1,3,0,16,3,0,23,0,0,3,5,94,13,9,0,134,7.052631,0.000000,0.000000,19,19,0,0,0,0,0,0,6,5,0,0,1,9,1,0,2,0,27,39,13,8,133,0,94,0,53,0
func13,72,50,21,0,51,19,1,44,7,6,13,0,64,8,0,92,3,0,21,21,355,50,45,0,506,7.027778,0.000000,0.000000,72,72,0,0,0,0,0,0,16,15,0,0,3,42,11,0,8,3,107,153,48,35,503,0,355,0,186,0
func14,4,2,1,0,2,1,0,2,0,0,0,0,2,2,0,4,0,0,3,1,40,2,4,0,55,13.750000,0.000000,0.000000,4,4,0,0,0,0,0,0,4,3,0,0,1,4,1,0,2,0,15,18,6,8,56,0,40,0,29,0
func15,15,10,4,0,10,4,0,9,0,1,3,0,12,3,0,18,0,0,4,4,73,10,11,0,106,7.066667,0.000000,0.000000,15,15,0,0,0,0,0,0,4,3,0,0,1,10,1,0,2,1,21,29,12,10,102,0,73,0,39,0
func16,11,7,3,0,7,3,0,6,1,1,1,0,8,3,0,13,0,0,3,3,60,7,5,0,86,7.818182,0.000000,0.000000,11,11,0,0,0,0,0,0,6,5,0,0,1,5,1,0,2,0,19,25,8,8,85,0,60,0,39,0
func2,60,40,19,0,41,17,1,34,7,6,11,0,50,10,0,78,5,0,33,19,361,40,41,0,508,8.466666,0.000000,0.000000,60,60,0,0,0,0,0,0,26,25,0,0,3,38,19,0,12,5,127,165,43,49,513,0,361,0,216,0
func3,50,33,16,0,34,14,1,28,6,5,9,0,41,9,0,65,4,0,25,16,300,33,31,0,421,8.420000,0.000000,0.000000,50,50,0,0,0,0,0,0,21,20,0,0,3,30,15,0,10,2,107,137,36,42,426,0,300,0,183,0
func4,165,110,54,0,114,49,1,94,20,16,33,0,139,26,0,218,15,0,88,54,995,110,111,0,1392,8.436363,0.000000,0.000000,165,165,0,0,0,0,0,0,67,66,0,0,9,105,53,0,32,10,359,459,114,143,1416,0,995,0,597,0
func5,50,33,16,0,34,14,1,28,6,5,9,0,41,9,0,65,4,0,25,16,300,33,31,0,421,8.420000,0.000000,0.000000,50,50,0,0,0,0,0,0,21,20,0,0,3,30,15,0,10,2,107,137,36,42,426,0,300,0,183,0
func6,165,110,54,0,114,49,1,94,20,16,33,0,139,26,0,218,15,0,87,54,994,110,111,0,1391,8.430303,0.000000,0.000000,165,165,0,0,0,0,0,0,67,66,0,0,9,105,53,0,32,9,359,459,114,143,1415,0,994,0,597,0
func7,60,40,19,0,41,17,1,34,7,6,11,0,50,10,0,78,5,0,32,19,360,40,41,0,507,8.450000,0.000000,0.000000,60,60,0,0,0,0,0,0,26,25,0,0,3,38,19,0,12,4,127,165,43,49,512,0,360,0,216,0
func8,78,53,24,0,54,22,1,47,7,6,16,0,67,11,0,101,6,0,39,24,454,53,51,0,638,8.179487,0.000000,0.000000,78,78,0,0,0,0,0,0,28,27,0,0,3,48,23,0,14,6,155,207,57,53,644,0,454,0,261,0
func9,31,21,9,0,21,9,0,19,2,2,6,0,26,5,0,39,2,0,16,9,179,21,21,0,254,8.193548,0.000000,0.000000,31,31,0,0,0,0,0,0,13,12,0,0,1,19,9,0,6,3,59,81,23,19,254,0,179,0,103,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
