functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,476,264,211,0,315,109,51,202,113,26,82,0,437,39,0,686,133,0,134,211,2176,264,119,0,3133,6.581933,0.027311,2.000000,463,476,0,0,13,0,0,0,273,225,0,0,62,103,57,0,57,31,947,1285,286,110,3025,1,2175,1,1566,0
func0,97,55,41,0,63,25,8,40,23,8,16,0,90,7,0,137,24,0,28,41,411,55,27,0,603,6.216495,0.041237,2.000000,93,97,0,0,4,0,0,0,52,43,0,0,9,23,14,0,11,6,167,226,52,17,576,0,411,0,285,0
func1,133,75,57,0,87,33,12,56,31,9,24,0,123,10,0,189,34,0,35,57,572,75,34,0,835,6.278195,0.045113,2.000000,127,133,0,0,6,0,0,0,73,60,0,0,15,29,16,0,15,7,238,324,73,24,800,0,572,0,405,0
func2,300,170,129,0,199,72,28,128,71,20,52,0,277,23,0,428,76,0,85,129,1315,170,82,0,1918,6.393333,0.033333,2.000000,290,300,0,0,10,0,0,0,169,138,0,0,34,70,40,0,36,16,552,750,169,61,1843,0,1315,0,930,0
func3,523,297,225,0,348,125,49,222,126,35,90,0,480,43,0,747,134,0,145,225,2347,297,151,0,3394,6.489484,0.030593,2.000000,507,523,0,0,16,0,0,0,286,236,0,0,61,129,64,0,63,30,1005,1375,309,101,3275,0,2347,0,1653,0
func4,210,120,89,0,140,49,20,85,54,15,34,0,187,23,0,298,54,0,53,89,1001,120,71,0,1418,6.752381,0.019048,2.000000,206,210,0,0,4,0,0,0,101,83,0,0,29,61,16,0,27,14,444,635,149,33,1372,0,1001,0,695,0
func5,176,100,75,0,117,41,17,74,43,11,30,0,160,16,0,250,44,0,48,75,771,100,48,0,1127,6.403409,0.028409,2.000000,171,176,0,0,5,0,0,0,97,76,0,0,24,41,20,0,23,8,327,453,106,34,1074,0,771,0,547,0
func6,55,31,23,0,35,15,4,22,13,4,10,0,50,5,0,77,14,0,12,23,235,31,14,0,340,6.181818,0.054545,2.000000,52,55,0,0,3,0,0,0,27,22,0,0,7,12,4,0,6,3,99,139,32,7,324,0,235,0,165,0
func7,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func8,23,13,9,0,15,5,2,9,5,2,3,0,19,4,0,31,5,0,5,9,117,13,8,0,167,7.260870,0.000000,0.000000,23,23,0,0,0,0,0,0,12,8,0,0,5,7,0,0,4,1,53,77,20,6,157,0,117,0,84,0
func9,42,24,17,0,28,9,4,17,10,3,6,0,35,7,0,58,10,0,9,17,217,24,15,0,306,7.285714,0.000000,0.000000,42,42,0,0,0,0,0,0,21,15,0,0,9,13,0,0,7,2,100,147,37,9,292,0,217,0,155,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
