functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,223,120,102,0,145,52,25,96,49,10,41,0,208,15,0,324,66,0,77,102,982,120,42,0,1438,6.448431,0.035874,2.000000,215,223,0,0,8,0,0,0,143,119,0,0,22,37,43,0,26,17,411,527,111,59,1387,1,981,1,718,0
func0,45,25,19,0,28,13,3,19,9,4,8,0,43,2,0,63,11,0,11,19,164,25,8,0,249,5.533333,0.066667,2.000000,42,45,0,0,3,0,0,0,24,19,0,0,4,7,6,0,4,2,63,81,18,7,231,0,164,0,116,0
func1,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func10,96,52,43,0,61,25,9,41,20,7,18,0,90,6,0,138,27,0,22,43,392,52,14,0,576,6.000000,0.062500,2.000000,90,96,0,0,6,0,0,0,55,45,0,0,11,13,12,0,10,2,169,221,46,16,549,0,392,0,292,0
func11,110,61,48,0,71,28,10,46,25,8,20,0,103,7,0,157,29,0,30,48,460,61,23,0,677,6.154545,0.054545,2.000000,104,110,0,0,6,0,0,0,64,53,0,0,11,20,16,0,12,5,190,250,54,21,648,0,460,0,332,0
func12,96,52,43,0,61,25,9,41,20,7,18,0,90,6,0,138,27,0,22,43,392,52,14,0,576,6.000000,0.062500,2.000000,90,96,0,0,6,0,0,0,55,45,0,0,11,13,12,0,10,2,169,221,46,16,549,0,392,0,292,0
func13,321,176,144,0,209,81,30,138,71,23,58,0,301,20,0,464,89,0,82,144,1357,176,59,0,1984,6.180686,0.049844,2.000000,305,321,0,0,16,0,0,0,188,155,0,0,36,53,44,0,35,10,586,770,159,62,1907,0,1357,0,999,0
func14,96,52,43,0,61,25,9,41,20,7,18,0,90,6,0,138,27,0,22,43,392,52,14,0,576,6.000000,0.062500,2.000000,90,96,0,0,6,0,0,0,55,45,0,0,11,13,12,0,10,2,169,221,46,16,549,0,392,0,292,0
func15,321,176,144,0,209,81,30,138,71,23,58,0,301,20,0,464,89,0,81,144,1356,176,59,0,1983,6.177570,0.049844,2.000000,305,321,0,0,16,0,0,0,188,155,0,0,36,53,44,0,35,9,586,770,159,62,1906,0,1356,0,999,0
func16,110,61,48,0,71,28,10,46,25,8,20,0,103,7,0,157,29,0,29,48,459,61,23,0,676,6.145454,0.054545,2.000000,104,110,0,0,6,0,0,0,64,53,0,0,11,20,16,0,12,4,190,250,54,21,647,0,459,0,332,0
func17,174,95,78,0,113,42,18,73,40,13,29,0,157,17,0,251,50,0,45,78,804,95,35,0,1152,6.620690,0.040230,2.000000,167,174,0,0,7,0,0,0,101,83,0,0,24,32,20,0,23,6,364,494,108,32,1114,0,804,0,597,0
func18,61,34,26,0,39,16,5,25,14,4,11,0,55,6,0,86,16,0,17,26,274,34,15,0,397,6.508197,0.049180,2.000000,58,61,0,0,3,0,0,0,35,29,0,0,7,13,8,0,8,3,116,158,36,11,382,0,274,0,197,0
func19,47,25,21,0,29,13,4,19,10,4,8,0,42,5,0,67,14,0,10,21,211,25,6,0,302,6.425532,0.063830,2.000000,44,47,0,0,3,0,0,0,27,22,0,0,7,6,4,0,6,1,97,131,28,7,290,0,211,0,161,0
func2,110,61,48,0,71,28,10,46,25,8,20,0,103,7,0,157,29,0,31,48,461,61,23,0,678,6.163636,0.054545,2.000000,104,110,0,0,6,0,0,0,64,53,0,0,11,20,16,0,12,6,190,250,54,21,649,0,461,0,332,0
func20,55,31,23,0,35,15,4,22,13,4,10,0,50,5,0,77,14,0,11,23,234,31,14,0,339,6.163636,0.054545,2.000000,52,55,0,0,3,0,0,0,27,22,0,0,7,12,4,0,6,2,99,139,32,7,323,0,234,0,165,0
func21,41,22,18,0,25,12,3,16,9,4,7,0,37,4,0,58,12,0,4,18,175,22,5,0,249,6.073171,0.073171,2.000000,38,41,0,0,3,0,0,0,20,16,0,0,7,5,0,0,4,0,82,114,24,4,237,0,175,0,133,0
func22,156,86,69,0,101,39,15,64,37,13,26,0,142,14,0,224,44,0,27,69,684,86,32,0,978,6.269231,0.044872,2.000000,149,156,0,0,7,0,0,0,77,62,0,0,24,29,8,0,17,3,313,437,96,20,937,0,684,0,501,0
func23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,20,20.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,5,7,2,1,17,0,13,0,12,0
func24,23,13,9,0,15,5,2,9,5,2,3,0,19,4,0,31,5,0,5,9,117,13,8,0,167,7.260870,0.000000,0.000000,23,23,0,0,0,0,0,0,12,8,0,0,5,7,0,0,4,1,53,77,20,6,157,0,117,0,84,0
func25,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func26,23,13,9,0,15,5,2,9,5,2,3,0,19,4,0,31,5,0,5,9,117,13,8,0,167,7.260870,0.000000,0.000000,23,23,0,0,0,0,0,0,12,8,0,0,5,7,0,0,4,1,53,77,20,6,157,0,117,0,84,0
func27,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,20,20.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,5,7,2,1,17,0,13,0,12,0
func3,96,52,43,0,61,25,9,41,20,7,18,0,90,6,0,138,27,0,23,43,393,52,14,0,577,6.010417,0.062500,2.000000,90,96,0,0,6,0,0,0,55,45,0,0,11,13,12,0,10,3,169,221,46,16,550,0,393,0,292,0
func4,321,176,144,0,209,81,30,138,71,23,58,0,301,20,0,464,89,0,85,144,1360,176,59,0,1987,6.190031,0.049844,2.000000,305,321,0,0,16,0,0,0,188,155,0,0,36,53,44,0,35,13,586,770,159,62,1910,0,1360,0,999,0
func5,96,52,43,0,61,25,9,41,20,7,18,0,90,6,0,138,27,0,23,43,393,52,14,0,577,6.010417,0.062500,2.000000,90,96,0,0,6,0,0,0,55,45,0,0,11,13,12,0,10,3,169,221,46,16,550,0,393,0,292,0
func6,321,176,144,0,209,81,30,138,71,23,58,0,301,20,0,464,89,0,85,144,1360,176,59,0,1987,6.190031,0.049844,2.000000,305,321,0,0,16,0,0,0,188,155,0,0,36,53,44,0,35,13,586,770,159,62,1910,0,1360,0,999,0
func7,110,61,48,0,71,28,10,46,25,8,20,0,103,7,0,157,29,0,31,48,461,61,23,0,678,6.163636,0.054545,2.000000,104,110,0,0,6,0,0,0,64,53,0,0,11,20,16,0,12,6,190,250,54,21,649,0,461,0,332,0
func8,321,176,144,0,209,81,30,138,71,23,58,0,301,20,0,464,89,0,82,144,1357,176,59,0,1984,6.180686,0.049844,2.000000,305,321,0,0,16,0,0,0,188,155,0,0,36,53,44,0,35,10,586,770,159,62,1907,0,1357,0,999,0
func9,110,61,48,0,71,28,10,46,25,8,20,0,103,7,0,157,29,0,30,48,460,61,23,0,677,6.154545,0.054545,2.000000,104,110,0,0,6,0,0,0,64,53,0,0,11,20,16,0,12,5,190,250,54,21,648,0,460,0,332,0
rng,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,2,0,10,10.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,8,0,1,0
