functionName,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
main,738,410,327,0,485,177,75,313,172,49,127,0,693,45,0,1064,203,0,203,327,3339,410,183,0,4817,6.527100,0.033875,2.000000,713,738,0,0,25,0,0,0,442,375,0,0,77,158,99,0,75,47,1430,1891,390,180,4682,1,3338,1,2409,0
func0,259,144,114,0,168,67,23,107,61,23,44,0,244,15,0,372,70,0,56,114,1095,144,58,0,1586,6.123552,0.050193,2.000000,246,259,0,0,13,0,0,0,137,116,0,0,27,51,28,0,24,9,472,633,131,43,1529,0,1095,0,786,0
func1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,20,20.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,5,7,2,1,17,0,13,0,12,0
func10,259,145,113,0,168,67,23,105,63,23,44,0,240,19,0,371,70,0,50,113,1104,145,65,0,1582,6.108108,0.046332,2.000000,247,259,0,0,12,0,0,0,121,103,0,0,29,57,20,0,23,11,484,669,143,32,1524,0,1104,0,777,0
func11,190,106,83,0,123,49,17,77,46,17,32,0,174,16,0,272,52,0,29,83,804,106,44,0,1150,6.052631,0.047368,2.000000,181,190,0,0,9,0,0,0,85,70,0,0,26,39,8,0,17,5,361,507,110,20,1101,0,804,0,573,0
func12,58,32,25,0,36,17,4,22,14,6,10,0,54,4,0,82,16,0,5,25,235,32,11,0,335,5.775862,0.068966,2.000000,54,58,0,0,4,0,0,0,24,20,0,0,8,10,0,0,4,1,106,149,31,4,319,0,235,0,169,0
func13,55,31,23,0,35,15,4,22,13,4,10,0,50,5,0,77,14,0,11,23,234,31,14,0,339,6.163636,0.054545,2.000000,52,55,0,0,3,0,0,0,27,22,0,0,7,12,4,0,6,2,99,139,32,7,323,0,234,0,165,0
func14,13,7,5,0,7,5,0,5,2,2,2,0,12,1,0,17,3,0,1,5,39,7,0,0,62,4.769231,0.153846,2.000000,11,13,0,0,2,0,0,0,7,5,0,0,2,0,0,0,1,0,13,17,4,1,54,0,39,0,30,0
func15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,20,20.000000,0.000000,0.000000,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,5,7,2,1,17,0,13,0,12,0
func16,23,13,9,0,15,5,2,9,5,2,3,0,19,4,0,31,5,0,5,9,117,13,8,0,167,7.260870,0.000000,0.000000,23,23,0,0,0,0,0,0,12,8,0,0,5,7,0,0,4,1,53,77,20,6,157,0,117,0,84,0
