program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
P1_A.csv,983.0,654.0,310.0,0.0,668.0,288.0,8.0,558.0,109.0,96.0,183.0,0.0,828.0,155.0,0.0,1274.0,84.0,0.0,500.0,310.0,5833.0,654.0,643.0,0.0,8185.0,160.55669499999996,0.0,0.0,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,374.0,0.0,0.0,52.0,605.0,289.0,0.0,186.0,68.0,2033.0,2657.0,701.0,772.0,8258.0,1.0,5832.0,1.0,3467.0,0.0
P5_SL.csv,3355.0,1883.0,1459.0,0.0,2195.0,862.0,285.0,1394.0,800.0,293.0,566.0,0.0,3148.0,207.0,0.0,4801.0,882.0,0.0,724.0,1459.0,13774.0,1883.0,810.0,0.0,20060.0,94.17431600000002,0.664123,20.0,3190.0,3355.0,0.0,0.0,165.0,0.0,0.0,0.0,1665.0,1382.0,0.0,0.0,374.0,695.0,317.0,0.0,303.0,154.0,5804.0,7924.0,1714.0,501.0,19187.0,1.0,13773.0,1.0,9667.0,0.0
P3_SL.csv,2049.0,1156.0,881.0,0.0,1354.0,488.0,195.0,860.0,491.0,135.0,349.0,0.0,1871.0,178.0,0.0,2918.0,531.0,0.0,557.0,881.0,9209.0,1156.0,571.0,0.0,13313.0,80.612863,0.433435,18.0,1986.0,2049.0,0.0,0.0,63.0,0.0,0.0,0.0,1118.0,911.0,0.0,0.0,257.0,489.0,231.0,0.0,250.0,120.0,3945.0,5428.0,1237.0,404.0,12801.0,1.0,9208.0,1.0,6516.0,0.0
P1_SL.csv,3525.0,1930.0,1564.0,0.0,2271.0,897.0,326.0,1492.0,777.0,256.0,632.0,0.0,3279.0,246.0,0.0,5058.0,971.0,0.0,897.0,1564.0,14966.0,1930.0,655.0,0.0,21867.0,220.593308,1.7243520000000003,52.0,3342.0,3525.0,0.0,0.0,183.0,0.0,0.0,0.0,2040.0,1670.0,0.0,0.0,410.0,586.0,453.0,0.0,392.0,131.0,6425.0,8505.0,1804.0,660.0,20948.0,1.0,14965.0,1.0,10986.0,0.0
P4_A.csv,834.0,571.0,255.0,0.0,586.0,236.0,4.0,501.0,84.0,70.0,164.0,0.0,748.0,86.0,0.0,1081.0,60.0,0.0,346.0,255.0,4364.0,571.0,571.0,0.0,6184.0,60.170460000000006,0.0,0.0,834.0,834.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,221.0,0.0,0.0,36.0,514.0,179.0,0.0,112.0,77.0,1380.0,1932.0,541.0,486.0,6153.0,1.0,4363.0,1.0,2348.0,0.0
P5_A.csv,826.0,563.0,253.0,0.0,578.0,234.0,4.0,492.0,85.0,71.0,159.0,0.0,735.0,91.0,0.0,1069.0,59.0,0.0,342.0,253.0,4328.0,563.0,559.0,0.0,6135.0,81.609644,0.0,0.0,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,219.0,0.0,0.0,37.0,506.0,178.0,0.0,114.0,72.0,1373.0,1913.0,538.0,489.0,6104.0,1.0,4327.0,1.0,2342.0,0.0
P2_SL.csv,3388.0,1890.0,1479.0,0.0,2201.0,864.0,304.0,1395.0,805.0,284.0,574.0,0.0,3161.0,227.0,0.0,4848.0,909.0,0.0,751.0,1479.0,14570.0,1890.0,817.0,0.0,21038.0,147.484355,0.8599030000000001,30.0,3234.0,3388.0,0.0,0.0,154.0,0.0,0.0,0.0,1770.0,1486.0,0.0,0.0,377.0,711.0,335.0,0.0,324.0,153.0,6281.0,8516.0,1812.0,569.0,20265.0,1.0,14569.0,1.0,10384.0,0.0
P3_A.csv,486.0,333.0,144.0,0.0,334.0,142.0,1.0,291.0,40.0,42.0,96.0,0.0,434.0,52.0,0.0,621.0,35.0,0.0,208.0,144.0,2516.0,333.0,342.0,0.0,3579.0,68.408056,0.0,0.0,486.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,119.0,0.0,0.0,17.0,305.0,104.0,0.0,66.0,56.0,773.0,1098.0,332.0,263.0,3535.0,1.0,2515.0,1.0,1321.0,0.0
P4_SL.csv,3562.0,2001.0,1550.0,0.0,2335.0,909.0,307.0,1484.0,850.0,307.0,600.0,0.0,3342.0,220.0,0.0,5101.0,938.0,0.0,770.0,1550.0,14760.0,2001.0,872.0,0.0,21455.0,68.015206,0.618856,18.0,3393.0,3562.0,0.0,0.0,169.0,0.0,0.0,0.0,1780.0,1480.0,0.0,0.0,402.0,748.0,331.0,0.0,323.0,167.0,6247.0,8533.0,1846.0,549.0,20553.0,1.0,14759.0,1.0,10374.0,0.0
P2_A.csv,376.0,256.0,110.0,0.0,257.0,108.0,1.0,227.0,29.0,29.0,72.0,0.0,332.0,44.0,0.0,476.0,26.0,0.0,154.0,110.0,2052.0,256.0,253.0,0.0,2899.0,88.81512700000002,0.0,0.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,106.0,0.0,0.0,16.0,230.0,79.0,0.0,54.0,34.0,644.0,906.0,261.0,215.0,2884.0,1.0,2051.0,1.0,1128.0,0.0
